FullName,ImpactFactor
Energy and Fuels,1.124
"Language, Speech, and Hearing Services in Schools",1.124
Bioprinting,1.123
CNS Oncology,1.123
Current Hematologic Malignancy Reports,1.123
Current Opinion in Oncology,1.123
Dermatology,1.123
European Journal of Soil Biology,1.123
HIV Medicine,1.123
Journal of Psychiatric and Mental Health Nursing,1.123
Population and Environment,1.123
Diabetes and Vascular Disease Research,1.122
Economic Inquiry,1.122
Global Media and China,1.122
ACS Applied Nano Materials,1.121
ChemSystemsChem,1.121
Journal of Industrial and Engineering Chemistry,1.121
Journal of the Meteorological Society of Japan,1.121
Reviews in Chemical Engineering,1.121
Addictive Behaviors Reports,1.12
Best Practice and Research: Clinical Gastroenterology,1.12
Chemico-Biological Interactions,1.12
Current Cardiology Reports,1.12
Ecosphere,1.12
Energy Journal,1.12
Futures,1.12
Journal of Clinical Sleep Medicine,1.12
Natural Language and Linguistic Theory,1.12
Non-coding RNA Research,1.12
Social and Cultural Geography,1.12
APL Bioengineering,1.119
Bilingualism,1.119
HPB,1.119
Journal d'Analyse Mathematique,1.119
Journal of Physiology and Biochemistry,1.119
Machine Learning: Science and Technology,1.119
Pancreatology,1.119
Rheumatic Disease Clinics of North America,1.119
Transactions of Nonferrous Metals Society of China (English Edition),1.119
Evidence and Policy,1.118
Journal of Analysis and Testing,1.118
Molecular Plant-Microbe Interactions,1.118
Advances in Geophysics,1.117
Asian Journal of Social Health and Behavior,1.117
Biological Chemistry,1.117
Clinical Interventions in Aging,1.117
Journal of Small Business and Entrepreneurship,1.117
Language Awareness,1.117
Leadership and Organization Development Journal,1.117
Soil Security,1.117
Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering,1.117
Biochemia Medica,1.116
Collagen and Leather,1.116
Eurasian Business Review,1.116
Frontiers in Toxicology,1.116
Journal of Experimental Child Psychology,1.116
Journal of Oral Rehabilitation,1.116
Real Estate Economics,1.116
European Planning Studies,1.115
Frontiers in Nutrition,1.115
Journal of Creative Behavior,1.115
Journal of Glaciology,1.115
Materials Advances,1.115
Antibiotics,1.114
Biomedicines,1.114
Computer Communications,1.114
Advanced Biology,1.113
Current Oncology,1.113
Dementia,1.113
IEEE Transactions on Biomedical Engineering,1.113
Journal of Construction Engineering and Management,1.113
Journal of Integrative Agriculture,1.113
Primary Care - Clinics in Office Practice,1.113
Biophysical Journal,1.112
Nonprofit and Voluntary Sector Quarterly,1.112
Pharmaceutical Medicine,1.112
Radiation Oncology,1.112
China Geology,1.111
Digestion,1.111
EFSA Journal,1.111
International Journal of Digital Earth,1.111
Radiology: Imaging Cancer,1.111
Engineering with Computers,1.11
JPhys Materials,1.11
Nonlinear Differential Equations and Applications,1.11
Progress in Natural Science: Materials International,1.11
Scandinavian Journal of Management,1.11
Spanish Journal of Marketing - ESIC,1.11
Television and New Media,1.11
American Politics Research,1.109
JBI Evidence Implementation,1.109
Journal of Refugee Studies,1.109
Land Degradation and Development,1.109
Space Weather,1.109
Supportive Care in Cancer,1.109
China Agricultural Economic Review,1.108
China Communications,1.108
Cytokine,1.108
Ecosystems and People,1.108
Food Bioscience,1.108
International Journal of Science and Mathematics Education,1.108
International Journal of Tryptophan Research,1.108
Journal of Pharmacology and Experimental Therapeutics,1.108
Journal of Systematics and Evolution,1.108
Asian Spine Journal,1.107
China Journal,1.107
Cleaner Energy Systems,1.107
Epigenomes,1.107
Ethics and Information Technology,1.107
Food and Energy Security,1.107
International Journal for Numerical and Analytical Methods in Geomechanics,1.107
Journal of Neural Transmission,1.107
Open Heart,1.107
Applied and Environmental Microbiology,1.106
BMJ Open Respiratory Research,1.106
Economic and Industrial Democracy,1.106
Electrochimica Acta,1.106
Environmental Education Research,1.106
Frontiers of Optoelectronics,1.106
International Journal of Integrated Care,1.106
Journal of Athletic Training,1.106
Journal of Plant Physiology,1.106
Men and Masculinities,1.106
Toxicology,1.106
ACM Transactions on Quantum Computing,1.105
ACS Biomaterials Science and Engineering,1.105
Aggressive Behavior,1.105
Annals of Family Medicine,1.105
Circulation Journal,1.105
Counseling Outcome Research and Evaluation,1.105
European Journal of Public Health,1.105
European Transport Research Review,1.105
Journal of Diabetes,1.105
Neurology: Genetics,1.105
Trends in Neuroscience and Education,1.105
European Thyroid Journal,1.104
Social Policy and Administration,1.104
Applied Water Science,1.103
Behaviour and Information Technology,1.103
Computational Complexity,1.103
Journal of Curriculum Studies,1.103
Microbial Cell Factories,1.103
Neurochemical Research,1.103
Benchmarking,1.102
Canadian Psychology,1.102
Hernia : the journal of hernias and abdominal wall surgery,1.102
Neural Computing and Applications,1.102
Neurosurgical Focus,1.102
Pregnancy Hypertension,1.102
American Review of Public Administration,1.101
Canadian Journal of School Psychology,1.101
International Journal of Refractory Metals and Hard Materials,1.101
Journal of Experimental Education,1.101
Journal of Neuropathology and Experimental Neurology,1.101
Minerals Engineering,1.101
Neural Plasticity,1.101
Statistica Sinica,1.101
Trends in Hearing,1.101
IEEE Intelligent Transportation Systems Magazine,1.1
Insect Systematics and Diversity,1.1
JMIR Nursing,1.1
Additive Manufacturing Letters,1.099
Contemporary Educational Technology,1.099
Fungal Biology Reviews,1.099
Journal of Ovarian Research,1.099
NeuroMolecular Medicine,1.099
Rheumatology and Therapy,1.099
Healthcare Analytics,1.098
IEEE Open Journal of Antennas and Propagation,1.098
Journal of Management Science and Engineering,1.098
Naval Research Logistics,1.098
"Nutrition, Metabolism and Cardiovascular Diseases",1.098
CIRP Journal of Manufacturing Science and Technology,1.097
English for Specific Purposes,1.097
Journal of Hypertension,1.097
Natural Resources Research,1.097
Research on Aging,1.097
ACR Open Rheumatology,1.096
ACS Chemical Neuroscience,1.096
Aquaculture,1.096
Autonomous Robots,1.096
Journal of the Geological Society,1.096
Physical Review C,1.096
Reproduction,1.096
Advances in Life Course Research,1.095
CNS Spectrums,1.095
International Journal of Housing Policy,1.095
Journal of Clinical and Translational Hepatology,1.095
Personality and Mental Health,1.095
Superconductor Science and Technology,1.095
Surgery (United States),1.095
Neuroendocrinology,1.094
SIAM Journal on Discrete Mathematics,1.094
Clinical Genetics,1.093
"Engineering Science and Technology, an International Journal",1.093
Insect Conservation and Diversity,1.093
Journal of Educational Measurement,1.093
Journal of Gastric Cancer,1.093
Journal on Migration and Human Security,1.093
Scandinavian Journal of Economics,1.093
Service Business,1.093
Annals of Operations Research,1.092
Bulletin de la Societe Mathematique de France,1.092
Environmental Epidemiology,1.092
Materials and Structures/Materiaux et Constructions,1.092
American Journal of Health Promotion,1.091
Digestive and Liver Disease,1.091
Digital Geography and Society,1.091
Journal of Contaminant Hydrology,1.091
NDT and E International,1.091
Regional Environmental Change,1.091
TechTrends,1.091
Tectonophysics,1.091
Tree Physiology,1.091
American Journal of Chinese Medicine,1.09
Earth Surface Dynamics,1.09
Expert Review of Anti-Infective Therapy,1.09
International Journal of Robust and Nonlinear Control,1.09
Oxford Open Immunology,1.09
Research Involvement and Engagement,1.09
Bioelectronic Medicine,1.089
Bulletin of the Seismological Society of America,1.089
Climate Change Ecology,1.089
International Journal of Lightweight Materials and Manufacture,1.089
Plant Biology,1.089
Annals of Financial Economics,1.088
Journal of Bacteriology,1.088
Journal of Counseling and Development,1.088
Journal of Multilingual and Multicultural Development,1.088
"Perspectives in Plant Ecology, Evolution and Systematics",1.088
Swiss Political Science Review,1.088
eNeuro,1.087
International Journal of Methods in Psychiatric Research,1.087
Applied Ergonomics,1.086
ChemBioEng Reviews,1.086
Multinational Business Review,1.086
Pituitary,1.086
Toxicological Sciences,1.086
Computer Law and Security Review,1.085
Galaxies,1.085
JAMIA Open,1.085
Journal of Hospital Medicine,1.085
Journal of Sport and Social Issues,1.085
Structures,1.085
Adipocyte,1.084
Agriculture and Food Security,1.084
Journal of Comparative Neurology,1.084
Chemical Engineering Science: X,1.083
Forestry Research,1.083
Journal of Family Psychology,1.083
Administration and Society,1.082
Advances in Simulation,1.082
"Annals of Allergy, Asthma and Immunology",1.082
BioScience Trends,1.082
BMC Medical Ethics,1.082
Hydrometallurgy,1.082
IEEE Transactions on Computational Imaging,1.082
Journal of Dermatological Science,1.082
Journal of Physical Activity and Health,1.082
Northwestern University Law Review,1.082
Youth Violence and Juvenile Justice,1.082
Journal for the Scientific Study of Religion,1.081
Journal of Accounting and Public Policy,1.081
Journal of Economics and Management Strategy,1.081
Journal of Environmental Planning and Management,1.081
Management of Environmental Quality,1.081
Mycology,1.081
Handbook of Experimental Pharmacology,1.08
"Journal of Law, Finance, and Accounting",1.08
Journal of Zhejiang University: Science B,1.08
Solid Earth,1.08
Andrology,1.079
Early Intervention in Psychiatry,1.079
Forensic Science International: Synergy,1.079
Aging,1.078
Archives of Public Health,1.078
Current Opinion in Hematology,1.078
EuroMed Journal of Business,1.078
Journal of Applied Physiology,1.078
Journal of Cultural Economics,1.078
Macromolecular Rapid Communications,1.078
Network Neuroscience,1.078
Applied Clay Science,1.077
Indoor Air,1.077
Journal of Cutaneous Medicine and Surgery,1.077
Journal of Survey Statistics and Methodology,1.077
Agriculture and Human Values,1.076
Ain Shams Engineering Journal,1.076
Arrhythmia and Electrophysiology Review,1.076
Botanical Review,1.076
European Educational Research Journal,1.076
European Journal of Clinical Nutrition,1.076
European Polymer Journal,1.076
European Spine Journal,1.076
Journal of Immunology Research,1.076
Neuromodulation,1.076
Proceedings of the Royal Society of Edinburgh Section A: Mathematics,1.076
Frontiers in Oncology,1.075
Intelligent Medicine,1.075
International Journal for Numerical Methods in Engineering,1.075
Journal of Field Robotics,1.075
Pharmaceutics,1.075
Review of Industrial Organization,1.075
Strength and Conditioning Journal,1.075
Investigational New Drugs,1.074
Pharmaceutical Statistics,1.074
Plant Genome,1.074
Applied Food Research,1.073
BMC Primary Care,1.073
Discovery Immunology,1.073
Environment and Planning B: Urban Analytics and City Science,1.073
Heredity,1.073
Journal of Immigrant and Minority Health,1.073
Journal of Periodontal Research,1.073
Marine and Petroleum Geology,1.073
Solar Compass,1.073
Comparative Biochemistry and Physiology Part - C: Toxicology and Pharmacology,1.072
Expert Review of Clinical Pharmacology,1.072
International Journal of Precision Engineering and Manufacturing - Green Technology,1.072
Journal of Sports Science and Medicine,1.072
Materials Science for Energy Technologies,1.072
Post-Soviet Affairs,1.072
Science and Technology of Archaeological Research,1.072
Biology Letters,1.071
Economics of Innovation and New Technology,1.071
Epigenetics,1.071
Hypertension Research,1.071
IEEE Transactions on Learning Technologies,1.071
International Gambling Studies,1.071
Journal of Policy Modeling,1.071
Journal of Sex Research,1.071
Journal of the American College of Radiology,1.071
Mycorrhiza,1.071
Prostate,1.071
Urban Affairs Review,1.071
Acta Diabetologica,1.07
Diabetes Therapy,1.07
Frontiers in Digital Health,1.07
International Journal of Concrete Structures and Materials,1.07
Journal of General Virology,1.07
Language Learning and Technology,1.07
Neural Development,1.07
Neurologia Medico-Chirurgica,1.07
Politics,1.07
BMC Pregnancy and Childbirth,1.069
Conservation Science and Practice,1.069
Ecology and Society,1.069
European Business Review,1.069
American Journal of Orthopsychiatry,1.068
BioData Mining,1.068
Brain Research Bulletin,1.068
Current Opinion in Gastroenterology,1.068
Frontiers in Neuroscience,1.068
Journal of Digital Learning in Teacher Education,1.068
Journal of Quality Technology,1.068
Journal of Vegetation Science,1.068
"Mayo Clinic Proceedings: Innovations, Quality and Outcomes",1.068
Minerva,1.068
Organic Chemistry Frontiers,1.068
State Politics and Policy Quarterly,1.068
Cooperation and Conflict,1.067
Journal of Benefit-Cost Analysis,1.067
Journal of Dermatological Treatment,1.067
Journal of Science Teacher Education,1.067
Journal of Studies in International Education,1.067
Natural Products and Bioprospecting,1.067
Tsinghua Science and Technology,1.067
Chinese Medicine (United Kingdom),1.066
Human Resource Development International,1.066
International Journal of Damage Mechanics,1.066
Child Indicators Research,1.065
Discrete and Continuous Dynamical Systems- Series A,1.065
European Cardiology Review,1.065
Intelligent and Converged Networks,1.065
Journal of Civil Structural Health Monitoring,1.065
Journal of Diabetes Research,1.065
"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",1.065
Revista Brasileira de Psiquiatria,1.065
Water Biology and Security,1.065
Cartilage,1.064
Environmental Toxicology and Pharmacology,1.064
European Journal of Special Needs Education,1.064
IEEE Control Systems Letters,1.064
International Journal of Inclusive Education,1.064
International Migration Review,1.064
Journal of Behavioral Decision Making,1.064
Motivation and Emotion,1.064
Separation and Purification Reviews,1.064
Chromosome Research,1.063
